note; resume; opinions
8.5;Bon rapport qualité prix; Cafarts derriere le frigo pourtant la chambre etait tres propre.| Hotel tres bien situé proche de tout, grande chambre, petit dejeuner correct (manquait qd meme du jus d'orange mais il y avait pas mal de choix avec des fruits locaux)|
6.7; Agréable ; L’air conditionné qui à 17 degrés donne à peine plus que la température normale de la pièce.|

7.0;Bien; Réserver de l'eau en cas de coupure|
7.0;C’était bien. En dehors du climatiseur qui ne fonctionne pas bien dans la seconde chambre; On a pas eu à manger donc je ne peux pas me prononcer. L’emplacement nous a posé beaucoup de difficultés|
7.0; Bien  ; Les agents de sécurité qui sont un peu lent à la compréhension | Les équipements, le calme, et l'accueil par le gérant |
9.0;Parfait; Tout, l'accueil, le personnel, l'appartement, les équipements, la situation géographique|
9.0; Fabuleux  ; Le fait de monter des escaliers, pas d'ascenseur. Ça peut être un peu gênant avec les bagages. Pensez aussi à repasser une couche de peinture par endroits.| Équipements de très bonne qualité, propreté draps et serviettes, calme du site. Tout ou presque ce dont on a besoin est en place.|
8.0;Pas mal; Le menage mal fait,  il va falloir plus de formation dans ce sens à vos agents de ménage.  Les toilettes doivent être lavées et avec des produits,  non nettoyer à la va vite. Les wc bouchés et un dimanche où il n ya pas de personnel c'est vraiment gênant. Les draps doivent être changés tous les jours et non chaque 4 jours.  Il n n'ya pas toutes les chaînes à la télé sur canal.  Et enfin, si la résistance a une petite cuisine ça ne serait pas mauvais.| Le lit confortable et le personnel très accueillant.|
7.0;Satisfait de notre séjour.; Identification de linterrupteur ouverture de porte, mise en place du savon vaisselle et lave-linge à disposition du client, à sa charge de payer en cas d'utilisation... manque les chaînes pour le football pour ma part| Emplacement,accessibilité, sécurité,fonctionnalité. Residence bien située dans la ville de douala, un vigile en journée et deux la nuit. Appartement bien équipé avec lave-linge.|
9.0; Fabuleux  ; Absence d ascenseur | Propreté  Disponibilité du personnel  |
7.0;Excellente equipe. ; La seule chose est que l'emplacement qui figure sur booking et sur d'autres applications ne correspond pas a l'emplacement réel, qui se trouve a Bonadibong, a proximité de Bali. Par ailleurs les moustiques entrent allegrement dans le logement malgré les moustiquaires des fenetres. Prevoir des moustiquaires pour les lits. | L'equipe, l'appartement. Correspond aux informations. |
8.0; Très bien ; Absence d ascenseur | Propreté, disponibilité du personnel |
9.0;mon séjour était excellent; le manque d'asenceur| il n'y avait de petit déjeuner, l'endroit était bon pour moi, calme et proche du centre ville|
9.0;Agréable!; Certains appartements sont aux Troisième et Quatrième étages, sans ascenseur.| Sécurité, Parking interne et gardien. Accessibilité / Disponibilité du transport en commun Salon large et toillettes & douche par chambre.|
7.1; Bien  ; Les escaliers car pas d'ascenseur | La propreté |
9.2; Fabuleux  ; L’absence d’ascenseur | Je commande vivement. Personnel disponible. Service irréprochable.|
7.1; Bien  ; L'obligation d'éteindre la lumière à partir de l'interrupteur de la porte et regagner le lit dans l'obscurité parce que les lampes de chevet ne fonctionnent pas.b| La propreté et le confort des équipements. Très bel appartement.|
8.3;Le séjour c’est super bien passé et j’aimerais y faire un tour; Les escaliers car j’étais au 5ème étage mais à par cela c’est vraiment impeccable| L’appartement vraiment le luxe est incroyable 👍|
9.2; Fabuleux  ; Bien équipé|
8.3;Agréable dans l’ensemble; Cadre tranquille. Bonne connexion internet. Bel intérieur.|
4.0; Décevant ; Personnel non professionnel Établissement correct mais se faire chercher dans Douala pendant une cérémonie parceque le personnel s est rendu compte s être trompé sur le tarif... Le concierge vous appelle à 22h pour vous rejoindre dans la salle de mariage et vous réveille à 7h du matin... Vraiment moyen et déplacé... | Equipement |
10;bien; Tout étais parfait le personnel à l'écoute.|
4.0;Habitué des résidences et hôtels de Douala, je déconseille cette résidence; Les photos présentées sur le site de booking ne correspondent pas forcément avec la réalité du logement, Le règlement de la chambre m'a été imposé en cash. Pour pouvoir payer par carte bancaire, la personne ajoute au montant total une taxe de 19%, au motif que Booking n'applique pas la taxe de 19% alors que dans le détail du prix du séjour, cette taxe est bien appliquée. Le surplus réclamé était de plus de 150 euros, L'appartement du 4ème a été transformé deux soir en boîte de nuit par les occupants. Plusieurs plaintes, vidéos à l'appui. 48h pour solutionner le problème, Défilé ininterrompu de motos, taxis et son lot de klaxons presque 24h/24h. Même si c'est un sport national à Douala, la moindre des choses est de prévenir en amont le client de ce qu'il l'attend. L'environnement de la résidence est extrêmement bruyant, Abonnement canal plus dépassé pendant deux jours, Travaux dans un logement.| Logement propre, Litterie|
7.0;Top pour un premier séjour. ; L'emplacement de la résidence pas évidente à trouver de premier abord pour un non résident à Douala. | L'appartement spacieux et propre, la literie très confortable, le parking sécurisé. |
6.0;Résidence propre mais mal située ; Située en plein marché Dangereux et bruyant | La chambre |
10; Exceptionnel ; baignoires |

8.0;Trés bon accueil, personnel à l'écoute, navette présente à l'aéroport à 03h00 du matin. Parfait.; La clim dans les communs.| Hôtel bien situé et petit déjeuner correct.|
8.0; Très bien ; Pas de climatisation dans les couloirs.| Trés bien et complet.|
9.2; Fabuleux  ; Propre et photos exactement comme vue sur booking|
7.0;Très fun; Le petit déjeuner était peu diversifié| Le restaurant était sympathique|
8.3;Je serais flatté de revenir à Noubou Hôtel.; Les coupures d'électricité| Merci pour la considération, Nous avons aimé la prise en charge au niveau de la navette aéroport.|
8.3; Très bien ; La disponibilité du personnel|
7.5;Très agréable; Rien à dire.| Excellent séjour. Très bon accueil|
8.8;Really, value for money; Rien véritablement.| Localisation, petit déjeuner buffet et sécurité. Le personnel est très accueillant. Une navette a été envoyée pour me rencontrer à l'aéroport (free of charge).|
8.3; Très bien ; localisation | Accueil et propreté |
9.2; Fabuleux  ; Le service restauration est très lent | Hotel est beau et propre avec un standing internationale |
7.9;Bonne expérience mais points noirs de la localisation et de la taxe de séjour en sus; La situation géographique aurait pu être meilleure. Taxe de séjour par nuit/par personne de Fcfa 3.500.| Photos conformes à la réalité. 3 étoiles largement méritées. Parking d'un peu moins de 10 places dispo aux abords de l'hôtel|
6.7;Voyage a Douala; La position. Petit dej. Cafards dans une des chambres.| Le personnel de la réception. Les chambres même si c est pas très grand grand.|
7.5;Bon; La situation géographique| L’accueil|
7.9;Merci Michel; L'amabilité du personnel, spécialement du chauffeur Michel, mais aussi la qualité du restaurant.|
9.2;Magnifique. Merci!; Le bruit des travaux de restauration  dans  l'hotel| Staff très attentif et amical. Bon rapport prix-qualité.|
9.2; Fabuleux  ; Chambre et douche impeccable|
6.3; Agréable ; Mauvais Emplacement, incomplet petit déjeuner, | Bon Personnelles d'accueil, |
6.0;Hotel honorable dans un quartier risqué; Localisation dans un quartier dangereux et peu fiable. De plus, aucun restaurant ou café à la ronde| Petit déjeuner très basique, peu de choix, autant aller manger dehors dans un café.|
10;SÉJOUR MAGNIFIQUE JE REVIENS AVEC PLAISIR JE RECOMMANDE FORTEMENT; je n'ai rien à dire de négatif sur cet hôtel  dès votre arrivé vous comprenez que vous êtes dans votre chambre . la modernité de ce lieu à envoûté mon esprit| AGRÉABLEMENT SURPRISE MAGNIFIQUE ! de l'accueil à la chambre , le service est parfait . j'ai été agréablement surprise l'amabilité , la disponibilité du personnel , le prix, le confort mais surtout la PROPRETÉ|
9.6; Fabuleux  ; location.| très bel hôtel. équipement au dessus de la moyenne locale.|
6.3; Agréable ; Le petit déjeuner n’etait Pas de qualité et pas varié. Nous avons dîné au restaurant : le poisson servi était surgelé. Pas de sèche cheveux à disposition alors que repris dans l’equimêment|
10; Exceptionnel ; Rien à signaler | Tout était génial ! Bon accueil, établissement bien situé par rapport au centre ville, bonne attention accordée à la clientèle. |
7.9; Bien  ; Les prix au restaurant | Le personnel |
6.0; Agréable ; Pas de cintres dans la penderie Pas de verre à eau dans la douche Bien que ces manquements aient été signalés ils n'ont pas été mis à notre disposition lors de notre séjour Coffre-fort non fonctionnel| Confort des chambres Petit-déjeuner|

8.0;Les oreillers ne sont pas très confortables, ça donne le torticolis, mais bon.; Pas assez de feuilletons TV et le climatiseur déconne de temps en temps et le débit du wifi est très faible.| Le calme du coin. La gentillesse du personnel (concierge, gardien, etc...)|
7.0; Bien  ; Beaucoup de baisse de tension tout au long du séjour | Le confort, les équipements |
8.0;Belles prestations!; L’appartement était bien confortable et bien équipé! La personnel était à l’écoute! J’y ai passé un agréable séjour. |
9.0;Superbe; Le service d’accueil était impeccable, le responsable était super courtois et très gentil|
7.0; Bien  ; La disponibilité et la cordialité du personnel, du gérant au gardien, surtout compte tenu de notre heure tardive d'arrivée...|
8.0;Satisfaisant; Fonctionnement wifi moyen.| La tranquillité des lieux|
9.6; Fabuleux  ; Georges et Jules ont été aux petits soins avec nous. L'appartement était très confortable. Toujours disponibles pour faire de notre sejour une belle aventure!|
10;Mon séjour était fantastique; Le personnel très accueillant, les commissions très spontan et la sécurité très impeccable|
8.3;Un hébergement tranquille, comfortable et sécurisé; - Le wifi qui ne fonctionne pas toujours - Certains équipements un peu vétustes (frigo, placards...)| - La disponibilité, le sérieux et la gentillesse du personnel sur place - La tranquillité du lieu - La proximité de grands supermarchés|
10; Exceptionnel ;


7.0; Bien  ; Propreté à l’extérieur | Discret |
9.0;Agréable; Ras tout est ok| La propreté, lieux de résidence bien situé et coin calme|
7.0; Bien  ; Top|
9.0; Fabuleux  ; Ras| La propreté des lieux et le calme|
7.0;Cool; Pas de groupe électrogène pour les coupures de courant| La géolocalisation|
2.0;pas de Serviette, pas de Savon ni Papier toilette; mauvaise finition| rien|
10;Magnifique Séjour.; Location très jolie et raffinée. J'ai beaucoup aimé le calme et la sécurité surtout que c'est non loin de la route!|
10;Bel endroit,j'ai apprécié; La propreté|
10;Impeccable et quartier calme ; Logement tres propre, sympa et calme. On s'y sens comme chez soi. Quartier egalement top. On entre et sort à toute heure sans souci. |
5.0; Passable ; la situation geographique|
10; Exceptionnel ; Appartement chic et personnel serviable. J'ai beaucoup apprécié le service de transfert de l'aeroport à la résidence. J'y reviendrai !|
2.0;Médiocre; Douche insalubre Télé sans câble donc inutile Réfrigérateur non fonctionnel Pas de serviette dans la douche Pas de micro-onde| Salon viable et bien décoré. Appartement spacieux.|
8.0; Très bien ;

7.0; Bien  ;

7.0; Bien  ;

7.1; Bien  ;

6.0; Agréable ;

9.6; Fabuleux  ;

7.0; Bien  ; Très bien|
8.0;Satisfaction totale; C’était très loin du lieu du rendez-vous| Le cadre était vraiment au delà du prix de l’appartement|
7.1;Séjour agréable; La vaisselle n'était pas propre à notre arrivée, De brèves coupures d'électricité de temps en temps, Des fuites dans le lavabo de la cuisine| Studio très bien aménagé, Chambre propre avec un lit confortable, Electroménager en bon état.|
10;Excellent; Tout|
10;Paisible et tranquille; Le service|
6.7; Agréable ; L'odeur de la chambre La climatisation L'espace n'était pas très propre| Le design|
8.0; Très bien ;

8.0; Très bien ;

7.0; Bien  ;

8.5; Très bien ;

8.0; Très bien ;

8.0;Reposant et agréable.; Connexion WIFI pas suffisante en salle d'accueil.. Pourtant correcte dans la chambre..| Excellent établissement superbement situé.. Excellent rapport qualité/prix|
9.0; Fabuleux  ; La baignoire, le petit déjeuner|
8.0;impeccable; La position de la climatisation de la chambre et les moustiques|
8.0;Hôtel accueillant et chaleureux ; RAS | La chambre était confortable et conforme à ce qui est indiqué sur les photos. Lieu très calme et agréable pour un séjour de travail. Personnel accueillant et chaleureux. |
9.0;Faites y un tour; Top!| Personnel très chaleureux|
9.0;Very kool; Franchement c'était kool | Le calme |
7.1; Bien  ; Le restaurant est cher | La piscine |
8.3; Très bien ; un seul  petit déjeuner est compris dans le prix de la chambre pour deux .  Les prix des prestations de restauration sont elevés | la piscine et les grillades au bord de la piscine . Amabilité et l acceuil du personnel . Le petit déjeuner tres copieux en forme de buffet.  le rapport qualité prix de la chambre |
8.3; Très bien ; Propre et au centre de la ville |
7.1; Bien  ; oreillers pas confortable| petit déjeuner top|
7.5; Bien  ; Dommage que l'isolation phonique ne soit pas très bonne, on entend la TV ou conversations des autres chambres.| Bonne situation, non loin des restaurants, chambre bien équipée|
7.5; Bien  ; RAS| Personnel très sympa|
7.1; Bien  ; je n'ai pas apprécié faire une reservation pour une suite senior et me retrouver dans 2 chambres Standard sans aucune rectification tarifaire ! j'ai trouvé cela non professionnel|
7.1; Bien  ; La piscine pas de chaise longue  et pas de place sur les bords..| Le confort..le lit.la propreté le service voiturier le Riom service|
8.3;Inoubliable; Diversifié le menu au delà de 22 heures| Buffets corrects, chambre et lit bien|
6.3; Agréable ; Hötel un peu triste dans un quartier isolé. Pourquoi  ont ils installé la piscine à l'ombre dans un pays de soleil!!!!!|
6.3;Le sejour etait agreable; La proprete'..| La localisation|
5.0; Passable ; La taille de la chambre et le bruit | Le personnel très chaleureux, le repas délicieux, bel emplacement |
6.0; Agréable ; Je n'ai pas trop aimée la lenteur de l'équipe| L'emplacement|
5.0;Passable; La propreté n'était pas au rendez-vous| Pas vraiment|
10;Agréable séjour; hotel trés satisfaisant| son emplacementnt ,proche des métros|
10; Exceptionnel ; rien de particulier| son emplacement son confort|
2.5; Médiocre  ; De l'argent a disparu de ma valise pendant qu'on était au petit déjeuner |
10;TRANQUILLE; RAS| La tranquilité|

8.0;séjour au top; le frigo ne refroidissait pas dans l'appartement| très bon accueil , reactivité du personnel , sécurité au top^. Par contre le frigro dans le grand appartement ne refroidissait pas. j'ai bu mon champagne quasiment chaud ce qui est bien domage dans une ville comme Douala et principalement à Bonapriso. Pour le reste j'ai rien a repprocher , je conseille vivement ce logement merci à l'équipe qui a fait au mieux pour que ce moment soit magique je reviendrai sûrement|
8.0; Très bien ; Bon emplacement ,et super|
8.0;Lumia le confort; L'absence de piscine| Le cadre|
8.0; Très bien ; L’absence de dispositif pour le repassage des vêtements | L’emplacement |
8.0; Très bien ; Mauvais fonctionnement de l’ascenseur |
7.0; Bien  ; En fin de soirée jusqu'à 7h30  il n'y avait pas d'eau pour se doucher. L'évier de la douche était bouché à notre arrivée et il n'y a pas de siège confortable pour s'asseoir et regarder la télé | L'établissement est situé non loin des restaurants. Le studio est propre et  le personnel  très courtois. |
9.0; Fabuleux  ; Les photos des chambres ne correspondent pas à la réalité. |
8.3; Très bien ; Le Mode de paiement!|
7.1; Bien  ; Le vol commis en mon absence . Surtout éviter de laisser de l'argent dans votre chambre ou alors demander que le ménage ne soit pas fait.| Le confort et la propreté de la chambre|
8.8;Un beau et agréable séjour; Douche assez etroites| Bel espace dans les appartements|
9.2;Séjour agréable, personnel accueillant; Le signal wifi faible dans la chambre, mais rien de grave en soit.| Le personnel accueillant et toujours prêt à aider. La polyclinique toute proche.|
10;Séjour ; Le coût pourrait être réduit | Tout était bien à part le coût |
2.0; Médiocre  ; Acceuil pas du tout chaleureux, ascenseur en panne depuis 2ans, pour quelq'un qui loge au 4e c'est un calvaire tous les jours d'emprunter ces escaliers. Le personnel est très autin, malpolie et très orgeuilleux , vont jusqu'à vous bloquer dehors!|
6.0;Séjour agréable quelque petit détail manque à l’appel merci à mme aurianne de son accueil; Bonjour je n’ai pas apprécié à mon arrivé que l’appartement n’était pas prêt à me recevoir encore à l’arrivé pas d’eau chaude pas assez de serviette une serviette par couple bouteille de gaz vide et  gouvernante pas du tout à sa place pas de contrôle de l’appartement avant notre arrivé et pas assez d’ustensiles à la cuisine pas de chiffon pas de passoire pour les pâtes et surtout le pire les  toilette bouger  assez fréquemment| Bonjour on a aimer l’espace de l’appartement le confort de la literie la propreté en général et la gentillesse  Du personnel et une excellente personne à l’accueil surtout mme Aurianne l’appartement été très confortable|
6.0;Bien; La baignoire trop haute accès difficile pour des personnes de moins d un mètre 84| Le lit de la chambre principal|
10; Exceptionnel ; Lit confortable, climatisation et wifi parfaits|
10;Super; Ras| Super appartement !!! Celui de 80m2 est top !|
1.0;Degoutant a decommander absolument.; Accueil et gestion des reservations deplorables. Ma reservation initiale pour un studio bien que confirmee a ete attribuee a un autre client. La jeune Dame trouvee a l'arrivee m'a propose au double de mon budget, un appartement de deux chambres. Totalement absurde puisque j'etais seul. Meme le gerant appele au telephone par la receptionniste est reste ferme sur ses exigences financieres. Ma proposition d'occuper une seule chambre dans l'appartement propose au prix du studio est restee sans effet. J'ai pas eu d'autre choix que de repartir en pleine nuit chercher un autre etablissement pouvant m'heberger. C'est triste ce degre d'amour d'argent qui frise l'escroquerie, le mepris de la dignite humaine et de la securite des clients.| Rien|
4.0; Décevant ; Différent de l'annonce faite  sur internet.  60m2 vendu our a peine 35m2 offert !scandale.  Pas de bon services des chambres  | Rien|
5.0;passable; Pas de restaurant. Four et micro onde hors service| Pas de petit dejeuné disponible|
6.0; Agréable ; Le service| Les équipements sont formidables y compris le lit mais le personnel doit être formé . La qualité du service manque de professionnalisme|
8.0; Très bien ; Tout est bien| La cuisine dans les chambres est super équipée. Trop bien|
7.0;Évaluation; Que l'équipe de nettoyage me réveille pour faire le ménage. La caution, oui mais soyez souple ou dites le aux clients dans la réservation| Accueil, calme, propre, sécurisé|
10;Week-end à Résidency Loumia avec Ma Famille.; Pas  de  Mouchoirs jetables ( Essuie Tout ) à la cuisine.| Receptioniste  (Gladys ) Disponible et Professionnelle .  SECURITE. Propreté. Flexibilité. Les Chambres sont Spacieuses.|

8.0;Je reviendrai; La connexion wifi| Le cadre est propre et confortable. Le personnel est accueillant Le petit déjeuner est excellent|
7.0;Séjour agréable; La soirée barbecue très peu animée pour un vendredi soir| L'accueil chaleureux. La proximité avec l'aéroport. La navette gratuite. La proximité du personnel avec les clients.|
8.0;L’emplacement est à proximité d’une route brouillante, les Klaxons vous réveillent déjà dès 5 h du matin; Le Personnel est très accueillant et aux petits soins pour les clients. L’établissement est propre. Navette Aéroport à disposition pour les voyageurs |
7.0; Bien  ; Les prix relativement élevés| L'accueil|
7.0; Bien  ; Mauvaise cuisine. La qualité est à revoir rapidement.|
7.1; Bien  ; L’emplacement | Le confort|
7.0;Agréable hôtel, personnel accueillant; Wifi peu performant à certains niveaux de l’ime 5ème Etage aile  droite.| Bonne literie|
6.7; Agréable ; Le personnel |
8.3; Très bien ; Coffre fort défectueux en chambre 709 Bruit de la chasse d'eau en chambre 709| Personnel réactif, disponible et agréable |
7.5; Bien  ; Restaurant service tres lent|
7.1;Mon séjoiur s'est bien passé; La salle de bain est vraiment exigue| La disponibilité des agents de la réception, la propreté permanente de ma chambre|
7.5;Bref séjour; Salle de bains exiguë. Place de parking trop étroite. Pas d'ascenseur au parking en sous sol. | Le calme. Bonne literie. Le buffet petit déjeuner. |
7.5;Séjour assez bien. Nous aurions pu mettre bien s’il n’y avait pas eu ce problème de petit déjeuner.; On nous a fait payer un petit déjeuner alors que la était pour mon époux et moi et qu’il était inclus dans le tarif| Le petit déjeuner est le point fort de l’hôtel : vraiment complet et copieux|
6.7;Correct pour la région ; Pas de piscine sur site| Literie agréable et confortable. Personnel serviable et courtois. Petit-déjeuner varié et bon. Restaurant excellent qui propose également des grillades au barbecue le soir. |
8.3;Excellent; Manque de piscine à l'hôtel.| Le lit confortable|
7.5; Bien  ; J'ai pris un chauffeur qui travaille en partenariat avec l'hotel pour une excursion.  Le prix avait été fixé d'avance mais il y a eu malentendu avec le chauffeur sur la question de la devise dans lequel le prix a été fixé.  Moi je parlais très clairement en dollars, lui en milliers de CFA.  Au retour, j'ai demandé à la reception de contacter la personne de la reception qui était present.  Il a confirmé ma version des faits.  Le chauffeur a demandé à la personne responsible des relations avec la clientele - Emmanuelle Tiokeng - d'intervenir.  J'ai propose de couper la poire en deux, mais elle n'était pas prête à un compromise.  Elle estimait que la seule solution était que je paie la totalité de la somme voulue par le chauffeur.  Elle m'a dit que Alain, entre temps, avait change de version (sans doute sous pression) et m'a fait chanter, menacant des problems avec la police si je métais pied dehors.  J'ai fini par contacter le chauffeur et nous avons tout de suite trouvé un compromise acceptable pour les deux côtés. Le personnel de l'hotel, et en premier la Guest Relations Manager, devrait defendre ses clients.  Au contraire, ils se sont rués sur moi avec menace et chantage et ont systématiquement refuse de chercher un compromise (que j'ai moi-même trouvé, sans difficulté).  Je ne mettrai plus les pieds dans cet hôtel et je propose à des clients potentiels de chercher ailleurs.  Quant à Emmannuelle Tiokeng, elle devrait chercher un autre travail - un qui ne nécessite pas de contact avec des êtres humains.| L'hotel m'a bien plu, mais j'ai eu une experience désagréable que je relaterai ci-dessous.|
6.7; Agréable ; Il faut penser à revoir l'éclairage dans les chambres, les couloirs et le restaurant. Le sol de la chambre était un peu poussiéreux.| Personnel très accueillant et attentionné, un menu assez varié au restaurant de l'hôtel et des chambres bien équipées.|
5.0;Bien pour le travail; Le lit cassé des mon arrivée  , la chambre n'a pas dû être vérifié correctement. La propreté a revoir| L'emplacement|
3.3;A oublier; L'emplacement de l'hôtel (quartier dangereux), l'insalubrité de la chambre (humidité), le design, le décor, les lumières, le service réception non réactif sur une banale réclamation TV.| La gentillesse de certains membres du personnel|
5.4; Passable ; Les parties communes sombres et mal équipées. Le petit déjeuner n'est pas très varié et pris dans une salle qui n' aucune ouverture sur l'extérieur.  La terrasse est fermée par de la  tôle ondulée. Les tables y sont sales .| Les chambres sont convenables et équipées correctement, mais sombres.  Le personnel à l' accueil est accueillant. |
5.4;Cher pour ce qui offre ; Le restaurant était très mauvais et très cher. Pas très bon odeur aux couloirs et même à la chambre. Pas un vrai 4*, loin de la qualité de la falaise Yaounde et d’autres hôtels de ce prix, surtout au niveau restauration | Lit confortable. Séjour serait ok pour la moitié de prix|
5.4;je ne reviendrais pas la bas; le service n'est pas du tout à la hauteur. j'ai commandé du Room service, un sandwich au poulet plus précisément. à ma grande surprise, le sandwich était infecte, inmangeable, j'ai rappelé le room service pour me changer le sandwich et le résultat était encore pire. figurez vous qu'on m'a obligé à régler ce sandwich! je peux même vous montrer la facture.| les chambres sont correctes|
10;Je recommande; Les petits détails de finition de chantier| Le personnel est aimable|
5.8; Passable ; Encore et encore  Equipements pour2...nul😠|

8.8; Très bien ; Isolation sonore a revoir Pas d evacuation d eau dans la salle de bain, sol toujours inondé après la douche| Personnel aux petits soin très sympathique Emplacement bien situé  Très belle vue côté jardin Nourriture du restaurant très bonne |
8.3; Très bien ; Je n'y ai passé qu'une nuit donc je n'ai rien à reprocher. Un peu déçue quand même par le décor de la chambre qui n'était pas ce à quoi je m'attendais mais tout était propre.| Chambre impeccablement propre et la clim fonctionnait très bien.|
7.9; Bien  ; Télécommande climatiseur absente. |
8.0;Relaxant et inspirant !😚; Propreté respect et sécurité| Vraiment propre et sécurisé les repas aussi sont bien faits  Le seul souci c’est la lenteur du personnel dans le service sinon le reste cava propreté 90%|
10; Exceptionnel ; La route| La chambre le personnel|
5.8;Je ne suis pas sûr d'y aller à mon prochain séjour. ; - restaurant bar exigu  - plats pas bien cuisinés  - salle d'eau avec colonne de douche défaillante  - mauvais écoulement de l'eau de douche  PAS D'EAU CHAUDE. - PAS D'ESSUI PIED À LA SORTIE DE DOUCHE.  PAS DE SANDALES POUR LA DOUCHE.  PAS DE VERRE.... - PAS DE CHAÎNES CANAL+ - LE WIFI INEXISTANT. | RAS |
9.6; Fabuleux  ; Propreté,  calme, rapport qualité-prix, qualité des équipements.|
7.0; Bien  ;

8.3; Très bien ;

6.7; Agréable ;

5.4; Passable ;

7.0; Bien  ;


8.0;Tranquillité,repos et régénération d'énergie tout au long du séjour; Le fait que le câble TV avait des soucis par intermittence| Nous avons apprécié l'accueil,la facilité à communiquer avec le responsable de l'établissement et le calme et la rapidité à réagir chaque fois que besoin se faisait.|
9.0;Merveilleux, surtout que j'apprécie beaucoup la disponibilité des bibles dans l'appartement; Les moustiques quand on laisse les fenêtres ouvertes. Je suggère qu'on mette des grilles sur les fenêtres| Je ne savais pas qu'il y avait le wifi|
7.5;Bon séjour sans tracas; Accès wifi partiellement fonctionnel et pression eau des douches trop faible| Disponibilité et reactivité de notre hote|
7.5; Bien  ; La pression de l’eau n’était pas assez forte| Appartement propre |
7.5;Douala ; Manque d'ascenseur. Accès. | Le calme. La sécurité. |
8.8;Buona proposta. Consigliato. / Pas mal. Faites-y un tour; Questo commento è in italiano e in francese. Ce commentaire est en italien et francais.  IT: Il Wi-Fi purtroppo non funzionava quasi mai. La posizione non è buona per via della zona poco curata, non dipende però dal padrone di casa. FR: Le Wi-Fi fonctionnait rarement et la connexion etait plutot mauvaise. L'acces a' l'appartement est difficile, a' cause de l'etat des routes, mais evidemment, cela ne depend en rien du proprietaire de l'appartement.  Il n'y a pas d'eau chaude,  mais c'est normal au Cameroun, vu que dans la plupart des maisons, il n'y a pas d'eau chaude.  | IT: Cordialità, gentilezza, disponibilità e supporto per informazioni varie dal padrone di casa, veramente un'ottima persona. Bravo anche il custode. Appartamento spazioso e pulito.  FR: Le proprietaire de l'appartement est le plus gentil, accueillant, cordial et disponible des proprietaires que nous avons rencontres jusqu'ici. Des l'instant ou' nous avons fait notre reservation,  il nous a contactes et a toujours ete disponible pour nous donner toutes sortes de renseignements  utiles pour notre sejour. L'appartement etait tres propre.  Le soir, il y a un gardien pour assurer la securite.  J'aimerais souligner la gentillesse et la disponibilite du gardien. Il y a une machine a' laver. Ce qui est rare dans les appartements du pays. L'appartement est tres discret donc  privacy assuree.  L'appartement est spacieux et reposant.  On s'est senti chez nous pendant notre sejour. L'hopital general et le marche sont a'  500 m.  On  y reviendra surement lors de notre prochain sejour dans la ville.  |
7.9;Très bon séjour ; Nous avons été bien accueillis et aider pour monter nos valises L’appartement était beau et très propre, nous le recommandons. Il y’a des boutiques et un marché à proximité. Nous y retournerons sans hésitation |
8.0; Très bien ;

9.0; Fabuleux  ;

7.9; Bien  ;


9.0;Génial le service et une propreté impeccable; Le service|
8.0; Très bien ; Le chemin qui mène à l'hôtel est inconfortable à pieds comme en voiture. Des pavés sur cette voie jusqu'à l'hôtel ferait de cet établissement une destination presque parfaite au plan du rapport qualité-prix. | L'équipement (climatiseur , téléviseur , téléphone , table ,...) de la chambre est de bonne qualité. Le lit était confortable La salle de douche est bien équipée avec eau chaude. |
7.0; Bien  ; La sale de bain manquait de raclette et d'esuie pieds| L'emplacement, le calme et cadre reposant, et propreté |
8.0; Très bien ; - L'accès à l'hôtel n'est pas vraiment rassurant en terme de sécurité pour quelqu'un qui n'a pas de voiture. - La connexion internet était défaillante quoiqu'ils nous ont expliqué que c'était une panne survenue juste au début du long week-end. - L'hôtel n'offre le petit déjeuner qu'à une personne pourtant en faisant le booking on a bien précisé qu'on était 2.| - L'hôtel est très propre - L'hôtel a un parking sécurisé - L'hôtel est situé au cœur de Douala. Non loin de Akwa, bonapriso et bonanjo - Le personnel est accueillant et serviable - Le bâtiment est bien fait - Les chambres climatisées et propres - Les toilettes sont nickel avec des sanitaires de très bonne qualité - Eau chaude disponible en permanence|
7.0; Bien  ; Le petit déjeuner|
9.2; Fabuleux  ; Nous n'avons pas apprécié le petit sentier qui mène à l'hôtel. | Hormis le sentier, tout est super|
8.0;Très Agréable; On n'a pas servi de petits déjeuners comme convenu.| L'accueil, très paisible. Mais il faudrait mettre de cafetières dans les chambres.|
8.0; Très bien ; Le petit déjeuner peut être amélioré| Personnel très serviable. Merci à Véronique. En plein centre ville. Très bon rapport qualité prix|
6.3; Agréable ; Assez difficile.|
10;SUPERB ACCEUILL; RAS| EXCELLENT SERVICE CLIENT|
6.0;Décent hôtel; Smell No blanket  Location n access | Hôtel décent,  Neuf  Choix de meuble très basic  Bon quartier mais pas bien situé, access plutôt tumultueux  |
10;un tres beau sejour.; la route qui mene a l'hotel| Le service, l'accueil, le professionnalisme, l'écoute...|
10;Excellent, tranquille, comme je l'ai souhaité; Je souhaite très vite un grand éclairage de nuit sur la voie pour les voyageurs arrivant en milieu de nuit.| C'est veritablement la perle dans Douala. Proximité aeroport, proprété et confort irreprochable, equipe completement disponible, professionnelle et le sourire toujours de mise....Bonne cuisine. J'ai aussi aimé le calme et la localisation bien auprès de la réalité des autres habitants.|
